"filename", "language", "XML", "JavaScript", "JavaScript JSX", "PostCSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\campo\MenuBoletins.css", "PostCSS", 0, 0, 0, 130, 0, 0, 0, 22, 21, 173
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\campo\MenuBoletins.jsx", "JavaScript JSX", 0, 0, 91, 0, 0, 0, 0, 6, 11, 108
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\campo\MenuCampo.css", "PostCSS", 0, 0, 0, 116, 0, 0, 0, 13, 18, 147
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\campo\MenuCampo.jsx", "JavaScript JSX", 0, 0, 56, 0, 0, 0, 0, 5, 13, 74
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\campo\Ovitrampa.css", "PostCSS", 0, 0, 0, 64, 0, 0, 0, 18, 13, 95
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\campo\Ovitrampa.jsx", "JavaScript JSX", 0, 0, 352, 0, 0, 0, 0, 26, 34, 412
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\campo\ResumoSemanal.css", "PostCSS", 0, 0, 0, 82, 0, 0, 0, 5, 11, 98
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\campo\ResumoSemanal.jsx", "JavaScript JSX", 0, 0, 328, 0, 0, 0, 0, 28, 46, 402
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\campo\SolicitarBloqueio.css", "PostCSS", 0, 0, 0, 123, 0, 0, 0, 17, 19, 159
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\campo\SolicitarBloqueio.jsx", "JavaScript JSX", 0, 0, 113, 0, 0, 0, 0, 12, 19, 144
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\gestao\PainelGestao.jsx", "JavaScript JSX", 0, 0, 89, 0, 0, 0, 0, 8, 12, 109
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\tecnica\AnaliseLarvas.css", "PostCSS", 0, 0, 0, 101, 0, 0, 0, 15, 21, 137
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\tecnica\AnaliseLarvas.jsx", "JavaScript JSX", 0, 0, 255, 0, 0, 0, 0, 21, 33, 309
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\tecnica\CadastroUsuario.css", "PostCSS", 0, 0, 0, 127, 0, 0, 0, 18, 20, 165
